row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
7963,2230,0,four_7.png,four_9.png,html-button-response,31,148684,59c08cd8e3a73b00011a8761,typicality,NULL
7964,1702,1,six_9.png,six_2.png,html-button-response,32,150388,59c08cd8e3a73b00011a8761,typicality,NULL
7965,1806,1,nine_3.png,nine_5.png,html-button-response,33,152196,59c08cd8e3a73b00011a8761,typicality,NULL
7966,1486,1,three_7.png,three_9.png,html-button-response,34,153684,59c08cd8e3a73b00011a8761,typicality,NULL
7967,982,1,six_4.png,six_8.png,html-button-response,35,154668,59c08cd8e3a73b00011a8761,typicality,NULL
7968,1327,0,zero_4.png,zero_7.png,html-button-response,36,155997,59c08cd8e3a73b00011a8761,typicality,NULL
7969,4861,0,three_10.png,three_6.png,html-button-response,37,160860,59c08cd8e3a73b00011a8761,typicality,NULL
7970,1006,0,four_1.png,four_4.png,html-button-response,38,161869,59c08cd8e3a73b00011a8761,typicality,NULL
7971,917,0,five_5.png,five_4.png,html-button-response,39,162788,59c08cd8e3a73b00011a8761,typicality,NULL
7972,878,0,two_4.png,two_1.png,html-button-response,40,163668,59c08cd8e3a73b00011a8761,typicality,NULL
7973,1554,0,six_6.png,six_3.png,html-button-response,41,165224,59c08cd8e3a73b00011a8761,typicality,NULL
7974,4290,0,zero_9.png,zero_5.png,html-button-response,42,169516,59c08cd8e3a73b00011a8761,typicality,NULL
7975,1225,0,three_4.png,three_1.png,html-button-response,43,170744,59c08cd8e3a73b00011a8761,typicality,NULL
7976,1994,0,three_2.png,three_10.png,html-button-response,44,172740,59c08cd8e3a73b00011a8761,typicality,NULL
7977,1782,1,six_3.png,six_1.png,html-button-response,45,174524,59c08cd8e3a73b00011a8761,typicality,NULL
7978,2622,0,five_6.png,five_9.png,html-button-response,46,177148,59c08cd8e3a73b00011a8761,typicality,NULL
7979,1393,0,zero_8.png,zero_6.png,html-button-response,47,178544,59c08cd8e3a73b00011a8761,typicality,NULL
7980,1094,0,four_10.png,four_5.png,html-button-response,48,179640,59c08cd8e3a73b00011a8761,typicality,NULL
7981,1786,0,one_10.png,one_4.png,html-button-response,49,181428,59c08cd8e3a73b00011a8761,typicality,NULL
7982,1134,0,seven_3.png,seven_6.png,html-button-response,50,182564,59c08cd8e3a73b00011a8761,typicality,NULL
7983,1823,1,seven_7.png,seven_5.png,html-button-response,51,184388,59c08cd8e3a73b00011a8761,typicality,NULL
7984,842,1,zero_2.png,zero_6.png,html-button-response,52,185232,59c08cd8e3a73b00011a8761,typicality,NULL
7985,1234,1,nine_8.png,nine_3.png,html-button-response,53,186468,59c08cd8e3a73b00011a8761,typicality,NULL
7986,6218,1,seven_5.png,seven_9.png,html-button-response,54,192688,59c08cd8e3a73b00011a8761,typicality,NULL
7987,1441,1,four_1.png,four_3.png,html-button-response,55,194132,59c08cd8e3a73b00011a8761,typicality,NULL
